number,corrAns
6,space
2,space
1,space
8,space
5,space
6,space
1,space
4,space
1,space
3,None
2,space
1,space
6,space
4,space
7,space
2,space
3,None
5,space
4,space
9,space
9,space
6,space
9,space
7,space
1,space
4,space
6,space
5,space
3,None
1,space
3,None
7,space
4,space
8,space
8,space
7,space
1,space
3,None
9,space
5,space
8,space
9,space
9,space
2,space
5,space
7,space
9,space
1,space
5,space
6,space
3,None
1,space
9,space
1,space
6,space
2,space
5,space
9,space
5,space
6,space
3,None
9,space
3,None
8,space
9,space
6,space
1,space
9,space
7,space
4,space
5,space
3,None
5,space
2,space
4,space
4,space
4,space
5,space
3,None
9,space
2,space
3,None
8,space
6,space
1,space
1,space
4,space
4,space
4,space
9,space
1,space
8,space
7,space
4,space
9,space
1,space
7,space
6,space
8,space
7,space
7,space
1,space
6,space
8,space
5,space
8,space
2,space
2,space
5,space
4,space
8,space
1,space
5,space
5,space
8,space
6,space
9,space
3,None
1,space
5,space
8,space
1,space
3,None
1,space
2,space
8,space
9,space
6,space
1,space
1,space
4,space
4,space
4,space
5,space
8,space
1,space
4,space
3,None
8,space
2,space
8,space
8,space
2,space
7,space
8,space
8,space
6,space
2,space
5,space
7,space
2,space
6,space
6,space
1,space
8,space
6,space
9,space
7,space
7,space
8,space
1,space
5,space
6,space
1,space
1,space
9,space
1,space
9,space
5,space
4,space
4,space
7,space
2,space
5,space
9,space
4,space
7,space
6,space
8,space
4,space
1,space
4,space
7,space
4,space
1,space
8,space
3,None
6,space
2,space
2,space
4,space
7,space
3,None
2,space
7,space
1,space
4,space
6,space
6,space
7,space
3,None
6,space
8,space
1,space
7,space
7,space
8,space
3,None
7,space
8,space
9,space
7,space
9,space
3,None
1,space
6,space
6,space
4,space
9,space
8,space
4,space
7,space
9,space
2,space
1,space
5,space
8,space
3,None
9,space
3,None
7,space
9,space
7,space
5,space
7,space
2,space
3,None
9,space
3,None
3,None
2,space
8,space
2,space
7,space
2,space
7,space
5,space
3,None
2,space
6,space
2,space
2,space
8,space
2,space
9,space
8,space
5,space
9,space
6,space
4,space
6,space
2,space
4,space
6,space
4,space
8,space
7,space
5,space
1,space
4,space
4,space
8,space
5,space
3,None
2,space
9,space
3,None
2,space
5,space
5,space
9,space
9,space
8,space
8,space
6,space
5,space
2,space
2,space
2,space
7,space
9,space
2,space
8,space
8,space
1,space
3,None
5,space
6,space
7,space
9,space
6,space
5,space
8,space
6,space
3,None
3,None
5,space
1,space
3,None
8,space
6,space
3,None
6,space
3,None
2,space
5,space
7,space
5,space
6,space
8,space
3,None
1,space
9,space
1,space
8,space
5,space
7,space
4,space
7,space
8,space
4,space
5,space
9,space
4,space
2,space
3,None
1,space
5,space
4,space
3,None
9,space
6,space
9,space
1,space
7,space
2,space
3,None
1,space
6,space
7,space
2,space
5,space
2,space
3,None
7,space
7,space
1,space
6,space
3,None
9,space
3,None
7,space
2,space
7,space
3,None
5,space
6,space
5,space
9,space
3,None
2,space
9,space
3,None
4,space
7,space
6,space
9,space
4,space
7,space
4,space
4,space
5,space
9,space
5,space
6,space
3,None
4,space
8,space
2,space
9,space
5,space
7,space
3,None
4,space
5,space
2,space
6,space
2,space
4,space
6,space
1,space
2,space
1,space
4,space
8,space
